English words/sentences,French words/sentences
Tom said he grew up in Boston.,Tom a dit qu'il a grandi à Boston.
Tom said he had a slight cold.,Tom a dit qu'il était un peu enrhumé.
Tom said he wanted to do more.,Tom a dit qu'il voulait faire plus.
Tom said he wanted to help us.,Tom a dit qu'il voulait nous aider.
Tom said that he was innocent.,Tom a dit qu'il était innocent.
Tom said that he was very sad.,Tom a dit qu'il était très triste.
Tom said that he wasn't drunk.,Tom a dit qu'il n'était pas ivre.
Tom said that he would buy it.,Tom a dit qu'il l'achèterait.
Tom said that wasn't the case.,Tom a dit que ce n'était pas le cas.
Tom said that's just not true.,Tom a dit que ça n'est juste pas vrai.
Tom said the decision was his.,Tom a dit que c'était sa décision.
Tom said you told him to wait.,Tom a dit vous lui aviez dit d'attendre.
Tom said you told him to wait.,Tom a dit que tu lui avais dit d'attendre.
Tom said you wanted to see me.,Tom a dit que tu voulais me voir.
Tom said you wanted to see me.,Tom a dit que vous vouliez me voir.
Tom sang better than Mary did.,Tom a mieux chanté que Mary.
Tom sang better than Mary did.,Tom a mieux chanté que Marie.
Tom sang better than Mary did.,Tom chanta mieux que Marie.
Tom sang better than Mary did.,Tom chanta mieux que Mary.
Tom saw Mary break the window.,Tom a vu Mary casser la fenêtre.
Tom saw Mary break the window.,Tom vit Mary casser la fenêtre.
Tom saw Mary trying to escape.,Tom a vu Mary essayant de s'échapper.
Tom says he wants to buy that.,Tom dit qu'il veut l'acheter.
Tom says that Mary lies a lot.,Tom dit que Marie ment beaucoup.
Tom says that he didn't do it.,Tom dit qu'il ne l'a pas fait.
Tom says that he never dreams.,Tom dit qu'il ne rêve jamais.
Tom says that he wants to win.,Tom dit qu'il veut gagner.
Tom says that he's just eaten.,Tom dit qu'il vient de manger.
Tom screamed to Mary for help.,Tom cria à Mary de l'aide.
Tom screwed in the light bulb.,Tom a vissé l'ampoule.
Tom searched the entire house.,Tom a fouillé dans toute la maison.
Tom seemed to know the secret.,Tom semblait connaître le secret.
Tom seems to be a kind person.,Tom semble être quelqu'un de gentil.
Tom seems to be a nice fellow.,Tom a l'air d'être un bon camarade.
Tom seems to have disappeared.,Tom semble avoir disparu.
Tom seldom goes out on Monday.,Tom sort rarement le lundi.
Tom sent Mary a birthday card.,Tom a envoyé à Mary une carte d'anniversaire.
Tom sent Mary a birthday card.,Tom a envoyé à Marie une carte d'anniversaire.
Tom sent Mary a birthday card.,Tom envoya à Mary une carte d'anniversaire.
Tom sent Mary a birthday card.,Tom envoya à Marie une carte d'anniversaire.
Tom should be back by October.,Tom devrait revenir d'ici octobre.
Tom should be here any minute.,Tom sera ici d'une minute à l'autre.
Tom should've been helping me.,Tom aurait dû m'aider.
Tom should've listened to you.,Tom aurait dû t'écouter.
Tom should've told me earlier.,Tom aurait dû me le dire plus tôt.
Tom showed me his photo album.,Tom m'a montré son album photo.
Tom showed us his photo album.,Tom nous a montré son album de photos.
Tom sometimes comes to see me.,Tom vient parfois me voir.
Tom sometimes walks to school.,Tom va parfois à l'école à pied.
Tom spent thirty days in jail.,Tom a passé trente jours en prison.
Tom spent three years in jail.,Tom a passé trois ans en prison.
Tom spoke into the microphone.,Tom parla dans le microphone.
Tom spoke into the microphone.,Tom a parlé dans le microphone.
Tom still has a lot of apples.,Tom a encore beaucoup de pommes.
Tom still needs more training.,Tom a encore besoin d'entrainement.
Tom stole all of Mary's money.,Tom a volé tout l'argent de Mary.
Tom stood in line for an hour.,Tom a fait la queue pendant une heure.
Tom talked to a lot of people.,Tom a parlé à beaucoup de monde.
Tom talked to a lot of people.,Tom a parlé à beaucoup de gens.
Tom taught himself how to ski.,Tom a appris à skier tout seul.
Tom thinks Mary will be upset.,Tom pense que Mary sera contrariée.
Tom told Mary to go back home.,Tom a dit à Mary de rentrer à la maison.
Tom told me he was interested.,Tom m'a dit qu'il était intéressé.
Tom told me he went to Boston.,Tom m'a dit qu'il était allé à Boston.
Tom told me he'd do that soon.,Tom m'a dit qu'il le ferait bientôt.
Tom told me that he was sorry.,Tom m'a dit qu'il était désolé.
Tom told me that he'd be late.,Tom m'a dit qu'il serait en retard.
Tom told me that he'd be late.,Tom m'a dit qu'il aurait du retard.
Tom told me to do that myself.,Tom m'a dit de le faire moi-même.
Tom told us he had a headache.,Tom nous a dit qu'il avait mal à la tête.
Tom took Mary to the hospital.,Tom a emmené Mary à l'hôpital.
Tom took Mary to the hospital.,Tom emmena Mary à l'hôpital.
Tom took a lot of photographs.,Tom a pris beaucoup de photos.
Tom treated Mary like a queen.,Tom a traité Mary comme une reine.
Tom tried not to look at Mary.,Tom essaya de ne pas regarder Mary.
Tom tried to end his own life.,Tom essaya de se suicider.
Tom tried to lighten the mood.,Tom a essayé de détendre l'atmosphère.
Tom tried to lighten the mood.,Tom essaya de détendre l'atmosphère.
Tom tried to resuscitate Mary.,Tom a essayé de ressusciter Mary.
Tom turned his headlights off.,Tom a éteint ses phares.
Tom turned off his headlights.,Tom a éteint ses phares.
Tom used to be a car salesman.,Tom était vendeur de voitures.
Tom used to be a heavy smoker.,Tom était un gros fumeur.
Tom used to be a truck driver.,Tom était un routier avant.
Tom used to be an electrician.,Tom était électricien.
Tom used to eat a lot of meat.,Tom avait pour habitude de manger beaucoup de viande.
Tom used to eat a lot of meat.,Tom mangeait beaucoup de viande.
Tom visited Australia in 2013.,Tom a visité l'Australie en 2013.
Tom visited Boston last month.,Tom a visité Boston le mois dernier.
Tom waited for Mary to answer.,Tom a attendu que Mary réponde.
Tom waited for Mary to answer.,Tom attendit que Mary réponde.
Tom waited for thirty minutes.,Tom a attendu pendant trente minutes.
Tom walked as far as he could.,Tom a marché aussi loin qu'il pouvait.
Tom walked into the courtroom.,Tom marchait dans la salle d'audience.
Tom walked out of the meeting.,Tom a quitté la réunion.
Tom walked out of the meeting.,Tom quitta la réunion.
Tom walked to the parking lot.,Tom marcha vers le terrain de stationnement.
Tom walked towards the stairs.,Tom marcha vers les escaliers.
Tom walked towards the stairs.,Tom se dirigea vers les escaliers.
Tom wanted me to learn French.,Tom voulait que j'apprenne le français.
Tom wanted to be a pharmacist.,Tom voulait faire pharmacien.
Tom wanted to be paid in cash.,Tom voulait être payé en espèces.
Tom wanted to be part of that.,Tom voulait en faire partie.
Tom wanted to be the last one.,Tom voulait être le dernier.
Tom wanted to become a farmer.,Tom voulait devenir fermier.
Tom wanted to become a lawyer.,Tom voulait devenir un avocat.
Tom wanted to dance with Mary.,Tom voulait danser avec Marie.
Tom wanted to dance with Mary.,Tom voulait danser avec Mary.
Tom wanted to make more money.,Tom voulait gagner plus d'argent.
Tom wanted to protect himself.,Tom voulait se protéger.
Tom wanted to see Mary's room.,Tom voulait voir la chambre de Mary.
Tom wanted to speak with Mary.,Tom voulait parler à Maria.
Tom wanted way too much money.,Tom voulait beaucoup trop d'argent.
Tom wants to apologize to you.,Tom veut s'excuser envers toi.
Tom wants to attend the party.,Tom veut participer à la soirée.
Tom wants to be a firefighter.,Tom veut être pompier.
Tom wants to become a fireman.,Tom veut devenir pompier.
Tom wants to become a teacher.,Tom veut devenir professeur.
Tom wants to get rich quickly.,Tom veut vite devenir riche.
Tom wants to know if it hurts.,Tom veut savoir si ça fait mal.
Tom was a very tough opponent.,Tom était un adversaire très coriace.
Tom was arrested Monday night.,Tom a été arrêté lundi soir.
"Tom was born October 20, 2013.",Tom est né le 20 octobre 2013.
"Tom was convinced, but not me.","Tom était convaincu, mais moi pas."
Tom was disguised as a beggar.,Tom était déguisé en mendiant.
Tom was found dead in his bed.,Tom a été retrouvé mort dans son lit.
Tom was found dead in his car.,Tom a été retrouvé mort dans sa voiture.
Tom was hiding in some bushes.,Tom se cachait dans des buissons.
Tom was hit by a car and died.,Tom fut heurté par une voiture et mouru.
Tom was in the passenger seat.,Tom était sur le siège passager.
Tom was killed by a land mine.,Tom a été tué par une mine.
Tom was obviously dumbfounded.,Tom était manifestement tombé des nues.
Tom was one of the lucky ones.,Tom était un des chanceux.
Tom was overjoyed to see Mary.,Tom était ravi de voir Mary.
Tom was scolded by his mother.,Tom s'est fait gronder par sa mère.
Tom was sitting by the window.,Tom était assis à la fenêtre.
Tom was stripped to the waist.,Tom était torse nu.
Tom was surprised by the news.,Tom était surpris par les infos.
Tom was the first person here.,Tom a été la première personne à être ici.
Tom was the life of the party.,Tom était le roi de la fête.
Tom was very kind to everyone.,Tom était très gentil avec n'importe qui.
"Tom was wrong about that, too.",Tom avait également tort à propos de cela.
Tom washes his hair every day.,Tom se lave les cheveux tous les jours.
Tom wasn't allowed to do that.,Tom n'avait pas le droit de faire cela.
"Tom wasn't home, but Mary was.","Tom n'était pas à la maison mais Mary, si."
Tom wasn't so sure of himself.,Tom n'était pas tellement sûr de lui.
Tom watched Mary as she slept.,Tom regardait Mary dormir.
Tom watched the boys swimming.,Tom regardait les garçons nager.
Tom went back into his office.,Tom est retourné dans son bureau.
Tom went back into his office.,Tom retourna dans son bureau.
Tom went down to the basement.,Tom est descendu au sous-sol.
Tom went home for the weekend.,Tom est rentré chez lui pour le week-end.
Tom went to Boston a week ago.,Tom est allé à Boston il y a une semaine.
Tom went to Boston for a week.,Tom a passé une semaine à Boston.
Tom will be back very shortly.,Tom sera bientôt de retour.
Tom will be cremated tomorrow.,Tom sera incinéré demain.
Tom will play tennis tomorrow.,Tom jouera au tennis demain.
Tom wishes to become a doctor.,Tom souhaite devenir docteur.
Tom won a free trip to Boston.,Tom a gagné un voyage gratuit à Boston.
Tom won the contest last year.,Tom a gagné le concours l'année dernière.
Tom won the contest last year.,Tom a remporté le concours l'année dernière.
Tom won't answer the question.,Tom ne répondra pas à la question.
Tom won't let anyone touch it.,Tom ne laissera personne y toucher.
Tom won't let me speak French.,Tom ne me laissera pas parler français.
Tom won't talk to me about it.,Tom ne m'en parlera pas.
Tom worked three years for me.,Tom a travaillé trois ans pour moi.
Tom would help us if he could.,Tom nous aiderait s'il le pouvait.
Tom would make a good teacher.,Tom ferait un bon enseignant.
Tom would never agree to that.,Tom ne serait jamais d'accord avec cela.
Tom would never agree to that.,Tom ne serait jamais d'accord avec ça.
Tom would never let you drive.,Tom ne te laisserait jamais conduire.
Tom would never let you drive.,Tom ne vous laisserait jamais conduire.
Tom wouldn't let Mary keep it.,Tom ne laisserait pas Mary le garder.
Tom wouldn't let Mary keep it.,Tom ne voulait pas que Marie le garde.
Tom writes with his left hand.,Tom écrit avec sa main gauche.
Tom's advice was very helpful.,Le conseil de Tom a été très utile.
Tom's bedroom door was closed.,La porte de la chambre de Tom était fermée.
Tom's computer was in his car.,L'ordinateur de Tom était dans sa voiture.
Tom's eyes were full of tears.,Les yeux de Tom étaient remplis de larmes.
Tom's family owns this bakery.,Cette boulangerie appartient à la famille de Tom.
Tom's favorite movie is Dumbo.,Le film préféré de Tom est Dumbo.
Tom's house is near the beach.,La maison de Tom est à côté de la plage.
Tom's name is on the envelope.,Le nom de Tom est sur l'enveloppe.
Tom's new wife's name is Mary.,La nouvelle femme de Tom s'appelle Mary.
Tom's phone can take pictures.,Le téléphone de Tom peut prendre des photos.
Tom's phone number's unlisted.,Le numéro de téléphone de Tom n'est pas répertorié.
Tom's prediction was accurate.,La prédiction de Tom était juste.
Tom's situation was different.,La situation de Tom était différente.
Tomorrow I must leave earlier.,Demain je dois quitter plus tôt.
Translate the underlined part.,Traduis la partie soulignée.
Trees do not grow on prairies.,Les arbres ne poussent pas dans les prairies.
Truer words were never spoken.,On n'a jamais rien dit de plus vrai.
Try and do it right this time.,"Essaie, et fais-le correctement cette fois."
Try to do one thing at a time.,Essaie de faire une chose à la fois.
Try to do one thing at a time.,Essayez de faire une chose à la fois.
Try to learn a little English.,Essaie d'apprendre un peu d'anglais.
Try to learn a little English.,Essayez d'apprendre un peu d'anglais.
Try to make a good impression.,Essaie de faire bonne impression.
Try to make a good impression.,Essayez de donner une bonne impression.
Try to see things as they are.,Essaie de voir les choses telles qu'elles sont.
Turn right at the next corner.,Tournez à droite à la prochaine intersection.
Two and four are even numbers.,Deux et quatre sont des nombres pairs.
Two doctors were talking shop.,Deux médecins étaient en train de parler boulot.
Two heads are better than one.,Deux têtes valent mieux qu'une.
"Two teas and a coffee, please.","Deux thés et un café, s'il vous plait."
Two vanilla ice creams please.,Deux glaces à la vanille s'il vous plaît.
Two wrongs don't make a right.,Les erreurs ne se compensent pas.
Two wrongs don't make a right.,On ne répare pas une injustice par une autre.
Typhoons hit Japan every year.,Les typhons frappent le Japon chaque année.
Typhoons hit Japan every year.,Les typhons frappent le Japon tous les ans.
"Unfortunately, no one told us.","Malheureusement, personne ne nous en informa."
"Unfortunately, no one told us.","Malheureusement, personne ne nous en a informé."
"Unfortunately, no one told us.","Malheureusement, personne ne nous l'a dit."
"Unfortunately, no one told us.","Malheureusement, personne ne nous le dit."
Volunteers are always welcome.,Les volontaires sont toujours les bienvenus.
Was I not supposed to eat yet?,Étais-je supposé ne pas encore manger ?
Was I not supposed to eat yet?,Étais-je supposée ne pas encore manger ?
Was Tom here when we got here?,Est-ce que Tom était là quand nous sommes arrivés ?
Was that supposed to scare me?,Était-ce censé me faire peur ?
Was that you on TV last night?,C'était toi à la télé hier soir ?
Was the victim male or female?,La victime était-elle un homme ou une femme ?
Was this somebody else's idea?,Est-ce que c'était l'idée de quelqu'un d'autre ?
Wash your hands before eating.,Lavez vos mains avant de manger.
Water is important for humans.,L'eau est importante pour les humains.
We agreed we'd give it a shot.,Nous étions d'accord pour tenter le coup.
We agreed we'd give it a shot.,Nous avions convenu d'essayer.
We all escaped without injury.,Nous en sommes tous sortis indemnes.
We all escaped without injury.,Nous en sommes toutes sortis indemnes.
We are badly in want of water.,On a vraiment besoin d'eau.
We are both in the same class.,Nous sommes toutes les deux dans la même classe.
We are both in the same class.,Nous sommes tous les deux dans la même classe.
We are staying at our uncle's.,Nous restons chez notre oncle.
We assumed that you were dead.,Nous avons supposé que vous étiez mort.
We both almost missed the bus.,Nous avons tous les deux failli rater le bus.
We both have the same problem.,Nous avons tous les deux le même problème.
We both understand each other.,On se comprend tous les deux.
"We bought the car for $12,000.",Nous avons acheté la voiture pour 12 000$.
We can see many stars tonight.,"On peut voir de nombreuses étoiles, ce soir."
We can't allow Tom to do that.,On ne peut pas autoriser Tom à faire ça.
We can't postpone the meeting.,Nous ne pouvons pas reporter la réunion.
We can't think about that now.,Nous ne pouvons pas penser à cela maintenant.
We can't wait for the weekend.,Nous sommes impatients d'être en week-end.
We could all be dead tomorrow.,Nous pourrions tous être morts demain.
We could all be dead tomorrow.,Nous pourrions toutes être mortes demain.
We couldn't agree on anything.,Nous ne sûmes nous accorder sur quoi que ce fut.
We crossed the lake in a boat.,Nous avons traversé le lac en bateau.
We didn't create the problems.,Nous n'avons pas créé les problèmes.
We didn't have money for that.,Nous n'avions pas d'argent pour cela.
We didn't stay home yesterday.,Nous ne sommes pas restés à la maison hier.
We don't do this often enough.,Nous ne faisons pas ça assez souvent.
We don't have a second choice.,Nous n'avons pas d'autre choix.
We don't have anything to eat.,Nous n'avons rien à manger.
We don't have anything to eat.,On n'a rien à manger.
We don't have the same values.,Nous n'avons pas les mêmes valeurs.
We don't know what went wrong.,On ne sait pas ce qui s'est mal passé.
We don't regret that decision.,Nous ne regrettons pas cette décision.
We don't speak French at home.,On ne parle pas français à la maison.
We don't speak French at home.,Nous ne parlons pas français à la maison.
We don't talk about that here.,Nous ne parlons pas de cela ici.
We don't trust the government.,Nous ne faisons pas confiance au gouvernement.
We don't want to pressure you.,Nous ne voulons pas vous mettre la pression.
We finally agree on something.,Nous nous sommes enfin mis d'accord sur quelque chose.
We found shelter under a tree.,Nous avons trouvé abri sous un arbre.
We found the boy sound asleep.,Nous avons trouvé ce garçon plongé dans un sommeil profond.
We found the boy sound asleep.,Nous avons trouvé ce garçon plongé dans un profond sommeil.
We go fishing once in a while.,Nous allons pêcher occasionnellement.
We got there at the same time.,On est arrivé en même temps.
We had a fire drill yesterday.,"Nous avons eu un exercice incendie, hier."
We had a good time last night.,Nous nous sommes bien amusés la nuit dernière.
We had a very vigorous debate.,Nous eûmes un débat agité.
We had an interesting evening.,Nous avons passé une soirée intéressante.
We had nice weather yesterday.,"Hier, nous avons eu du beau temps."
We had nice weather yesterday.,"Hier, la météo était clémente."
We had to put off the meeting.,Nous avons dû remettre la réunion à plus tard.
We have a good heating system.,Nous disposons d'un bon système de chauffage.
We have a long way left to go.,Nous avons encore un long chemin à faire.
We have a lot more work to do.,Nous avons beaucoup plus de travail à faire.
We have a lot of rain in June.,Nous recevons beaucoup de pluie en juin.
We have a similar predicament.,Nous sommes dans le même bain.
We have a similar predicament.,Nous nous trouvons dans la même difficulté.
We have a similar predicament.,Nous sommes dans le même pétrin.
We have achieved all our aims.,Nous avons atteint tous nos objectifs.
We have made friends with Tom.,Nous sommes devenus amis avec Tom.
We have no way to verify this.,Nous n'avons aucun moyen de vérifier ceci.
We have plans to visit Boston.,Nous avons prévu de visiter Boston.
We have the best food in town.,Nous avons la meilleure nourriture de la ville.
We have things all worked out.,Nous avons tout arrangé.
We have to ask everybody this.,Nous devons demander ceci à tout le monde.
We have to be at work by nine.,Nous devons être au travail pour neuf heures.
We have to get away from here.,Il nous faut sortir d'ici.
We have to pay for everything.,Nous devons payer pour tout.
We have to protect our border.,Nous devons protéger notre frontière.
We have to solve this problem.,Nous devons résoudre ce problème.
We have to solve this problem.,Il nous faut résoudre ce problème.
We have to try something else.,Nous devons essayer quelque chose d'autre.
We have two girls and one boy.,Nous avons deux filles et un garçon.
We have very little in common.,Nous avons très peu en commun.
We haven't done that all year.,Nous n'avons pas fait cela toute l'année.
We haven't talked for a while.,On n'a pas parlé depuis un moment.
We haven't yet begun to fight.,Nous n'avons pas encore commencé à combattre.
We haven't yet begun to fight.,Nous n'avons pas encore commencé à nous battre.
We hope many of you will come.,Nous espérons que vous viendrez nombreux.
We hope many of you will come.,Nous espérons que vous viendrez nombreuses.
We hope you enjoyed your stay.,Nous espérons que vous avez apprécié votre séjour.
We just want a second opinion.,Nous voulons seulement une seconde opinion.
We just want to live in peace.,Nous voulons simplement vivre en paix.
"We know all this already, Tom.","Nous savons déjà tout ceci, Tom."
We know each other quite well.,On se connaît assez bien.
We know how important this is.,Nous savons à quel point c'est important.
We know how it's going to end.,On sait comment ça va finir.
We know it's important to you.,On sait que c'est important pour toi.
We know it's important to you.,Nous savons que c'est important pour vous.
We know the work is dangerous.,Nous savons que le travail est dangereux.
We know what we're capable of.,Nous savons de quoi nous sommes capables.
We looked around the property.,On a fait le tour de la propriété.
We made the decision together.,Nous avons pris la décision ensemble.
We made the decision together.,Nous avons décidé ensemble.
We met at the designated spot.,Nous nous sommes rencontrés à l'endroit désigné.
We might have frost next week.,Il se peut qu'il gèle la semaine prochaine.
We must avoid war at all cost.,Nous devons éviter la guerre à tout prix.
We must be ready for anything.,Nous devons être prêts à tout.
We must cut down our expenses.,Nous devons réduire nos dépenses.
We must cut down our expenses.,Nous devons trancher dans nos dépenses.
We must do away with violence.,Nous devons nous débarrasser de la violence.
We must not break our promise.,Nous ne devons pas rompre notre promesse.
We need it now more than ever.,Nous en avons maintenant besoin plus que jamais.
We need more doctors like you.,Nous avons besoin de plus de médecins tels que vous.
We need our demands to be met.,Il faut que nos exigences soient respectées.
We need some more information.,Il nous faut plus d'informations.
We need to be more aggressive.,Nous devons être plus agressifs.
We need to cancel the meeting.,Nous devons annuler le rendez-vous.
We need to get away from here.,Nous devons partir d'ici.
We need to get something done.,Nous avons besoin de faire faire quelque chose.
We need to hire three welders.,Nous devons embaucher trois soudeurs.
We need to know what happened.,Nous avons besoin de savoir ce qui s'est passé.
We need to lower our expenses.,Nous devons réduire nos dépenses.
We need to reinforce the roof.,Nous devons renforcer le toit.
We need to take a short break.,Nous avons besoin de faire une courte pause.
We never had that opportunity.,Nous n'en avons jamais eu l'occasion.
We never speak French at home.,Nous ne parlons jamais français chez nous.
We often play cards on Sunday.,"Nous jouons souvent aux cartes, le dimanche."
We plan to go hiking tomorrow.,"Nous prévoyons de partir en excursion, demain."
We play soccer every Saturday.,Nous jouons au football chaque samedi.
We played chess every morning.,Nous jouions aux échecs tous les matins.
We played many kinds of games.,Nous avons joué à beaucoup de sortes de jeux.
We prepared snacks beforehand.,Nous préparâmes des en-cas à l'avance.
We prepared snacks beforehand.,Nous avons préparé des en-cas à l'avance.
We really don't have a choice.,Nous n'avons vraiment pas le choix.
We really had nothing to lose.,Nous n'avions vraiment rien à perdre.
We really want to impress Tom.,Nous voulons vraiment impressionner Tom.
We relaxed in the living room.,Nous nous sommes reposés dans le salon.
We sat on a bench in the park.,Nous étions assis sur un banc dans le parc.
We saw a bird in the distance.,Nous avons vu un oiseau au loin.
We should be better than this.,Nous devrions être meilleurs que ceci.
We should get along just fine.,Nous devrions parfaitement nous entendre.
We should have gotten married.,Nous aurions dû nous marier.
We should respect our parents.,Nous devrions respecter nos parents.
We should take a coffee break.,Nous devrions faire une pause café.
We shouldn't be seen together.,On ne devrait pas être vu tous les deux.
We shouldn't let that stop us.,Nous ne devrions pas laisser cela nous arrêter.
We showed them what we can do.,Nous leur avons montré ce que nous sommes capables de faire.
We sometimes swim in the lake.,Nous nageons de temps en temps dans le lac.
We spent hours looking for it.,Nous avons passé des heures à le chercher.
We spent hours looking for it.,Nous avons passé des heures à la chercher.
We stayed at the Hilton Hotel.,Nous avons séjourné à l'hôtel Hilton.
We still don't know the truth.,Nous ne savons toujours pas la vérité.
We still have more work to do.,Il nous reste du travail à faire.
We still have some work to do.,Il nous faut encore fournir du travail.
We still have some work to do.,Il nous reste du travail à faire.
We talk about it all the time.,Nous en parlons constamment.
We talked about it last night.,Nous en avons parlé la nuit dernière.
We thought he was an American.,Nous pensions qu'il était étasunien.
We thought you didn't like it.,Nous pensions que tu ne l'avais pas aimé.
We took turns driving the car.,Nous nous relayâmes pour conduire la voiture.
We understand that completely.,Nous comprenons cela complètement.
We usually sleep in this room.,On dort habituellement dans cette chambre.
We visited our father's grave.,Nous nous sommes rendus à la tombe de notre père.
We want a complete evaluation.,Nous voulons une évaluation complète.
We want to make it affordable.,Nous voulons le rendre abordable.
We want to solve that problem.,Nous voulons résoudre ce problème.
We wanted to get out of there.,Nous voulions sortir de là.
We wanted to win at all costs.,Nous voulions gagner à tout prix.
We went on a really long walk.,Nous avons vraiment fait une longue promenade.
We went swimming at the beach.,Nous sommes allés nager à la plage.
We went swimming at the beach.,Nous allâmes nager à la plage.
We went to Australia by plane.,Nous sommes allés en avion en Australie.
We went to the beach together.,Nous allâmes ensemble à la plage.
We went to the beach together.,Nous sommes allés ensemble à la plage.
We went to the beach together.,Nous sommes allées ensemble à la plage.
We were actually pretty lucky.,Nous étions en fait assez chanceux.
We were actually pretty lucky.,Nous étions vraiment plutôt chanceux.
We were caught in a snowstorm.,Nous fûmes pris dans une tempête de neige.
We were caught in a snowstorm.,Nous fûmes prises dans une tempête de neige.
We were caught in a snowstorm.,Nous avons été pris dans une tempête de neige.
We were caught in a snowstorm.,Nous avons été prises dans une tempête de neige.
We were children at that time.,"Nous étions enfants, en ce temps-là."
We were in Boston last winter.,Nous étions à Boston l'hiver dernier.
We were only following orders.,Nous ne faisions que suivre les ordres.
We were proud of our strength.,Nous étions fiers de notre force.
We were there for a long time.,Nous étions là pour long temps.
We were there for a long time.,Nous étions là depuis longtemps.
We were trying to protect you.,On essayait de te protéger.
We were trying to protect you.,Nous essayions de vous protéger.
We will be happy to cooperate.,Nous serons heureux de coopérer.
We wish you a pleasant flight.,Nous vous souhaitons un vol agréable.
We won't have class next week.,Nous n'aurons pas cours la semaine prochaine.
We won't have time to do that.,Nous n'aurons pas le temps de faire ça.
We'd better not do that today.,Nous ferions mieux de ne pas faire cela aujourd'hui.
We'd better not do that today.,On ferait mieux de ne pas le faire aujourd'hui.
We'll all die sooner or later.,Nous mourrons tous tôt ou tard.
We'll be back after the break.,Nous reviendrons après la pause.
We'll be there in three hours.,Nous y serons dans trois heures.
We'll get you a place to stay.,Nous te dégoterons un endroit pour dormir.
We'll get you a place to stay.,Nous vous dégoterons un endroit pour dormir.
We'll have to do this quickly.,Nous allons devoir faire cela rapidement.
We'll make the right decision.,Nous prendrons la bonne décision.
We'll never get there in time.,Nous n'y arriverons jamais à temps.
We'll take care of everything.,Nous nous occuperons de tout.
We're all going to die anyway.,De toute façon on va tous mourir.
We're aware of the challenges.,Nous sommes conscients des défis.
We're counting on you to help.,Nous comptons sur vous pour aider.
We're counting on you to help.,Nous comptons sur toi pour aider.
We're facing a violent crisis.,Nous faisons face à une crise violente.
We're going to leave tomorrow.,Nous allons partir demain.
We're going to need some help.,Nous allons avoir besoin d'aide.
We're going to paint the wall.,Nous allons peindre le mur.
We're going to run some tests.,Nous allons faire des tests.
We're going to run some tests.,Nous allons procéder à quelques tests.
We're gonna have a lot of fun.,On va bien rigoler.
We're gonna have a lot of fun.,On va bien s'amuser.
We're here to play basketball.,Nous sommes là pour jouer au basket.
We're in a bit of a hurry now.,Nous sommes un peu pressés actuellement.
We're just having a good time.,Nous passons seulement un bon moment.
We're just not used to it yet.,Nous ne sommes simplement pas encore habitués à ça.
We're leaving in five minutes.,Nous partons dans cinq minutes.
We're leaving in five minutes.,On part dans cinq minutes.
We're looking for a volunteer.,Nous cherchons un volontaire.
We're looking for a volunteer.,Nous cherchons une volontaire.
We're not certain of that yet.,Nous ne sommes pas encore certaines de ça.
We're not certain of that yet.,On n'est pas encore sûr de ça.
We're not certain of that yet.,On n'est pas encore certains de ça.
We're not certain of that yet.,Nous ne sommes pas encore sures de cela.
We're not getting any younger.,On ne rajeunit pas.
We're not getting any younger.,Nous ne rajeunissons pas.
We're not going to lie to you.,On ne va pas te mentir.
We're not going to lie to you.,Nous n'allons pas vous mentir.
We're not supposed to do that.,Nous ne sommes pas censés faire cela.
We're not supposed to do that.,Nous ne sommes pas supposées faire ça.
"We're on the same team, right?","On est dans la même équipe, n'est-ce pas ?"
"We're on the same team, right?","Nous sommes dans la même équipe, n'est-ce pas ?"
"We're safe in here, aren't we?","Nous sommes en sécurité ici, n'est-ce pas ?"
We're sorry we can't help you.,Nous regrettons de ne pas pouvoir vous aider.
We're sorry we can't help you.,Nous sommes désolés de ne pas pouvoir vous aider.
We're trying to close the box.,Nous sommes en train d'essayer de fermer la boîte.
We're very excited about that.,Nous sommes très excités à ce propos.
We're very nervous about that.,Nous sommes très nerveux à ce sujet.
We're working to fix this bug.,Nous travaillons à corriger ce bug.
We've already seen this movie.,Nous avons déjà vu ce film.
We've been friends ever since.,Depuis lors nous sommes amis.
We've corrected the situation.,Nous avons corrigé la situation.
We've got a lot of work to do.,Nous avons beaucoup de travail à faire.
We've just finished breakfast.,Nous venons de terminer le petit-déjeuner.
We've just finished breakfast.,On vient de terminer notre petit-déjeuné.
We've never talked about that.,Nous n'avons jamais parlé de ça.
We've never visited Australia.,Nous n'avons jamais visité l'Australie.
We've painted the walls white.,Nous avons peint les murs en blanc.
We've still got a lot of time.,Nous avons encore beaucoup de temps.
Weeds sprang up in the garden.,Des mauvaises herbes ont poussé dans le jardin.
"Well, what are we waiting for?","Eh bien, qu'attendons-nous ?"
"Well, what does that tell you?","Eh bien, qu'est-ce que cela vous évoque ?"
"Well, what does that tell you?","Eh bien, qu'est-ce que cela t'évoque ?"
"Well, what does that tell you?","Eh bien, que cela vous évoque-t-il ?"
"Well, what does that tell you?","Eh bien, que cela t'évoque-t-il ?"
Were you with my father today?,"Étais-tu avec mon père, aujourd'hui ?"
Were you with my father today?,"Étiez-vous avec mon père, aujourd'hui ?"
Wet clothes cling to the body.,Les vêtements mouillés collent au corps.
What Tom saw changed his life.,Ce que Tom a vu a bouleversé sa vie.
What Tom told you wasn't true.,Ce que t'a dit Tom n'était pas vrai.
